,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Net Income to Total Assets,-0.5860351542512315,0.9707698249160268,0.9945866086372123,0.9753404861691513,0.2758424360748967,0.2755128594308174,0.6017204539552298,0.6938561134478045,0.6970677860749727,0.5235004752907576,0.6306704695345294,0.03352310196888047,0.17907610827947648,0.3705801625347306,-0.024369705744959412,0.3339609700846022,0.7623632201374435,0.7623632201374435,0.7471331318899666,0.9576662692852586,0.4865730212999106,-0.030298118890647662,0.6750332447438689,0.9673530315603066,0.0039050529179216953,0.05208026596960287,0.18651951664218547,0.18624984207024164,0.4764167877129583,0.1206256791247092,0.9550067707398656,0.8422133171433362,0.6851448731663313,0.32040443874626284,0.2775185599442025,0.10326832856444082,-0.8663317113265618,-0.630388122518442,0.6303881225184426,0.24814142167869618,0.5297197905917496,0.11493248028775932,0.6711597939688604,0.9666579427891601,0.5536979638420797,-0.08624638275266792,-0.053507855957128224,0.10850921002974243,0.10037714613706679,-0.08034482980128281,-0.519540364451414,-0.03992144322562402,0.6267667349676627,-0.06710675078050432,0.4511169078200483,-0.1506057341557632,-0.0957827602731211,-0.14352013008412035,0.2688169287211008,-0.06402401975433251,-0.5826131113000965,0.37060109825081133,0.04828704585883152,0.3261111695086138,-0.10217667653089206,-0.2135807674178819,0.5591385563575189,-0.01645215341254061,0.8202830800437204,0.6634351515147894,-0.6036996101448552,-0.0966527624545877,-0.09429482316489678,0.17065214084937103,-0.10292221369853799,-0.004901465441772586,0.03178859549346244,-0.10217667653089206,0.5591385563575189,0.5740561610193241,-0.18740032557383968,0.008531534866546684,0.5234352710841168,0.8245480738475769,-0.4460080731382261,-0.7922400204903876,1.0,0.012665074636628226,0.18927213200352586,0.2758491581495203,-0.6883213257509465,0.5438904899727998,0.0004257696051566952,0.03826215881539453,,0.38031869854598954
 Total assets to GNP price,0.008293456768757377,-0.08667135821732062,0.014702946774330965,-0.07247526359961613,0.017989683483300295,0.018046450892279943,-0.13246744723186582,-0.048058862890596014,-0.029431203606803295,0.013788943078502106,-0.13140332193682838,-0.07705986528216797,0.3305107379685027,-0.07720566086534209,-0.13755465554018884,-0.1951843934967454,0.053498901853340206,0.053498901853340206,0.07651802122508254,-0.07305861864523953,-0.18054976015624383,-0.2245556079212471,-0.15622717248191212,-0.037249642444084324,0.1263640469867037,0.07517329943062297,0.025599143476176235,0.026115984236353827,0.01291018221841674,-0.2396911379884897,-0.0353486441962451,0.006650549995196401,-0.13423103018427113,-0.19281433357762323,-0.18907370822775516,-0.03146408955207687,0.026278676406558246,0.11594099197107458,-0.11594099197107426,0.25248152080956127,0.07339538191438412,0.3483858226611646,-0.15633569049950538,-0.030336165473367798,-0.1309686561550117,-0.27388530107847125,0.28299606735566846,-0.33652891625961723,-0.06910187640847541,-0.016210641097084907,-0.1979555427844081,-0.08219687807234735,-0.10226620569367971,0.15635161896258323,-0.18076496745354204,-0.377951693200814,-0.40546683092862684,-0.23139180864735645,-0.19487190642887386,0.19259905022938248,-0.18871278567665967,-0.20562357293271014,0.1409989630926881,-0.11361951155661694,-0.4782442141674924,-0.07223762959836177,-0.008365902486333916,0.7871932961313268,0.016240084608741257,-0.0034188058359218066,-0.11880360736476485,0.022119775612432002,-0.1916161654496469,0.06390250222453593,-0.27850784783118776,-0.09627718167835157,-0.2886198559548024,-0.4782442141674924,-0.008365902486333916,0.25166691712893574,-0.09123136451604928,-0.09831476415897632,-0.1792707219010335,0.000538678817494343,0.1153764772311144,-0.02424589941859908,0.012665074636628226,1.0,-0.16840534598706894,0.018018629255731052,-0.02483365608442952,0.06405021131611428,0.01377290518655841,0.021623765104282166,,-0.16289628195500416
 No-credit Interval,-0.47576096210993724,0.17276803382750375,0.14165306012034398,0.15888486620904133,0.23204309231285575,0.23168299229285183,0.28420849873250265,0.2543844132487852,0.24210054433149505,0.15681220444962418,0.23355549901805375,-0.1938740995813075,0.1806353939175958,0.30982527464154547,-0.09719934844515175,0.23423636084617144,0.36820294618571636,0.36820294618571636,0.3688752491349337,0.21496584217218118,0.16940034072520152,0.0832985811226162,0.20802577125667754,0.21190661098597668,-0.3101723391761306,-0.055103941953708706,0.0010413743379111989,0.002783688828853241,-0.0016829642919684801,0.034382868511281604,0.2356678971024363,0.022538709556623498,0.10924305919444506,0.459178903875951,0.43146501652699787,-0.006191364880198705,-0.22947080042502768,-0.3956851407170577,0.39568514071705807,0.12363442117533582,-0.2718636531192017,-0.19846097490450848,0.20894698582614893,0.2203433436320689,-0.054568478506244765,0.1576729515849191,-0.11906784492168855,0.1394491700455093,-0.08913345027930787,-0.07326563040131573,-0.022658611287062376,-0.09563433336449198,0.14996895760807147,-0.3282172088635509,0.5014648760787745,0.28898239948754356,0.273570583854792,0.24893558808344216,0.44027619016610936,0.03332662400635188,-0.2861557922741868,0.2773611412007463,-0.04436338098911081,0.32998745815196234,-0.001939376637022469,0.4228486958224009,-0.17620578319295285,-0.3179078028482442,0.2910917659681271,0.3506190451441424,0.08456462992862449,-0.01064175260512775,-0.01969604960323572,0.3687773794056728,0.1548281421894089,0.06966490127432157,-0.13708508879675155,-0.001939376637022469,-0.17620578319295285,-0.3221113151587723,0.1269977018952,0.15441217987343533,0.21364994862412737,0.029513449732902333,-0.5798998209173393,0.007353918612551318,0.18927213200352586,-0.16840534598706894,1.0,0.23201708508645022,0.05590638923051913,-0.2183162086327004,0.011193057579219217,0.024791891530320506,,0.337879868182254
 Gross Profit to Sales,-0.381926161256794,0.27186017500406784,0.24998734286084098,0.23934453736367337,0.9999999824853236,0.9999789514146022,0.6824989656399922,0.31150234544490835,0.2758515961297036,0.0075984760921769595,0.24872926285177074,-0.4598673862183193,0.34877249658809645,0.27573093176700625,-0.12103493105206228,0.3645195563872115,0.22576782542771096,0.22576782542771096,0.2240733772950163,0.26695116733876056,0.21985024277369292,-0.3314116459484021,0.45916309779735404,0.3022510290775837,-0.01894146438669416,0.06347050925932274,0.1276922641878507,0.12725152467463266,0.1255570179811188,0.03894876282289209,0.25533160483544687,0.1125887058073505,0.18142225578389903,0.06206844271772522,0.08451306455978781,-0.07106603882698388,-0.15636746203260785,-0.18145018006123037,0.18145018006123076,-0.02335327018719934,-0.08265480503148284,-0.05553518099120263,0.4586509338038448,0.3026186011164512,-0.16606753667976298,-0.3226493382282317,-0.14979875516780658,0.03831564531088854,0.16605566949242306,-0.03825828144949053,-0.3360229214284512,-0.42180358485953673,0.2525120418258251,-0.3255848195615367,0.03340790155311992,-0.22593798551638852,-0.2835505994645238,0.043986738862134264,0.07242742898741303,-0.0717272267496497,-0.3061004984952637,0.16702431781873814,0.006691356585191485,0.012354529313426522,-0.25655279045259294,0.03183106009471058,-0.05941992010980293,0.04167754823121733,0.24492353394299163,0.2051227669148,0.4412077774584467,0.045953136519486106,0.2322165878979552,0.019644413415336594,0.2659945586759678,0.10646612254209556,0.09216144934240326,-0.25655279045259294,-0.05941992010980293,0.02007517858281737,0.10422225528587073,0.057401467499052124,0.22499100916602494,0.11844218425111426,-0.1463494964597011,-0.06791235863513735,0.2758491581495203,0.018018629255731052,0.23201708508645022,1.0,-0.01951826514436721,-0.027099800175134553,0.06277324633661352,-0.09011897454317659,,0.0841826283221063
 Net Income to Stockholder's Equity,0.15362787776886033,-0.6925445471239927,-0.7389154847907403,-0.7319622000759166,-0.019500740918291865,-0.019517866906047815,-0.14719721614759598,-0.20552166718152287,-0.2168056414089502,-0.1722342105197588,-0.19995713037177154,-0.049891100366418945,-0.034824859004019326,-0.0708684798302248,-0.09644431290608205,-0.03171472504209377,-0.36093728814632786,-0.36093728814632786,-0.3594437708928115,-0.5886608976522543,-0.16852345423653978,0.097503026396507,-0.2827984151834102,-0.5601831211174809,0.04489812688189081,-0.06441399833085269,-0.12169266402514675,-0.12170376167403871,-0.513726007638133,0.12660536197704017,-0.6293099793101008,-0.8802940798394041,-0.5584943528762933,-0.04200605107340332,-0.023656811939823243,-0.00823698112240155,0.8048031118038884,0.29043631512427753,-0.29043631512427737,-0.06877669380255365,-0.9002610770813849,-0.3981828729151188,-0.27693601216376484,-0.5432320808225726,-0.8176497939897625,0.20582580181219648,-0.031196692972423362,0.005990835857637349,-0.04824690331803597,-0.06859791180811985,0.5420443558367251,0.08256872555017074,-0.2538969039650779,-0.08565582049628262,-0.10709228151892698,0.2804335301331925,0.2022290851053844,0.35621844834082034,-0.017344697429562815,-0.02989622763400487,0.30903277328348855,-0.06790625994746265,-0.031573724932990446,-0.08743334428507879,0.06810752386680934,0.6388465653317733,-0.9225559944434937,-0.019219077936823932,-0.4793015342525338,-0.09915256767716844,0.6105011771218067,0.12655853486497792,0.06527108793186695,-0.03283065342364829,0.22255932862246372,0.18288481130718248,-0.1114970020375407,0.06810752386680934,-0.9225559944434937,-0.8255575826523897,0.4681871516328895,0.13535020208407958,-0.22378333932527691,-0.919677922620281,0.01924060214775764,0.9871098679668864,-0.6883213257509465,-0.02483365608442952,0.05590638923051913,-0.01951826514436721,1.0,-0.9242642992173083,-0.013516604255509806,0.01576104737133824,,-0.08786886626220469
 Liability to Equity,0.03598452058895272,0.5549388364436801,0.612607428767095,0.5931869140948908,-0.027119686375734822,-0.02699589981227419,0.06860679406605179,0.04728240650100207,0.06402929798540538,0.02054385038691951,0.04698623233485707,0.04316613846968504,-0.03775227675595533,-0.10337531179514343,0.1680895128752098,-0.03938870760700432,0.13921725522803838,0.13921725522803838,0.14807696610869978,0.4268469762439502,0.02826095192754742,-0.017614282595338975,0.22474039149335354,0.4032997969483021,0.12150292297613463,0.10103696824200877,0.09432080657585029,0.09257510649566368,0.46928289042839494,-0.17526979986478927,0.47746258826208265,0.8027115072939103,0.4191609841241773,-0.1718056587030128,-0.170300708615328,0.1450037769973956,-0.5442363480654313,0.05568194943182659,-0.055681949431826534,-0.08706485396855304,0.9877170889704787,0.5066940838150198,0.21986873439437574,0.3878309731606108,0.870817758424324,-0.20548728169788025,0.04552211161889246,-0.027488182833479563,-0.012952845844850647,0.02156024939393125,-0.3632737131071058,-0.04192738168526302,0.16967970272506358,0.17340538251544887,-0.14156910467242978,-0.2506984004716512,-0.17812724230725352,-0.3859139778843443,-0.17888970982491728,0.09298395974578429,-0.01518231926745396,-0.0931107442512669,0.008470354173560285,-0.08813527036177052,-0.03753627090600869,-0.7869230930630327,0.9853762216082956,0.0629116195626693,0.2443771707942184,-0.03405959882080776,-0.5251848415229434,-0.060671134925682546,-0.032278511605889605,-0.06290647255312583,-0.29279993023328343,-0.20473493760563327,0.16780094452181088,-0.03753627090600869,0.9853762216082956,0.8631548084410661,-0.48960490706014304,-0.18226733506473125,0.056546470947702814,0.8014020146698202,0.2405005245249305,-0.8922701370541336,0.5438904899727998,0.06405021131611428,-0.2183162086327004,-0.027099800175134553,-0.9242642992173083,1.0,0.07963226941104373,-0.013688695474962258,,-0.18144133476552998
 Degree of Financial Leverage (DFL),0.18507701437853696,-0.029752543501158725,0.009246336032469191,-0.018155882625180402,0.06276119162032137,0.06283861744553258,-0.0503272138066298,-0.01082156535419285,-0.005236740308261914,0.014470072360305487,-0.024800687446716697,-0.07611686968023473,-0.011222242818063204,-0.09959594235745364,0.10067128358287045,-0.1242612018773633,-0.004984663195371055,-0.004984663195371055,-0.00841952150597325,-0.02951493370556418,-0.04325147458721903,-0.037987212031364945,-0.051730389645059785,-0.008447218480176051,-0.04348245814023237,0.014958125515148517,0.03985263981994293,0.040198673302248675,0.04812311189758363,-0.13579652973131176,0.029503688145435726,0.15644482440704088,-0.004530085300374496,-0.12221827924445801,-0.10362376400664114,0.169605668630494,0.05947091058500951,0.1558522330812015,-0.15585223308120194,-0.11318170749750713,0.042000331362478334,-0.00869737576283851,-0.05112093036942172,-0.009324440581341737,-0.017140468127769832,-0.09825584353563754,0.0017089707343933887,-0.046376120126291456,0.15619424809185078,-0.047464365257681634,-0.02500179796075182,-0.09826788230075145,-0.03954605506488191,-0.06312543537031674,-0.1360701427550957,-0.09942961056481846,-0.12531014230662546,-0.07418475555446297,-0.10868977536685842,-0.016480905285038754,0.02906375194307836,-0.08212110670283508,0.33618822233060197,-0.10905009708314979,-0.10630578527997868,-0.10519133559582858,0.04455332047779208,0.012985396037563322,-0.0688355431881861,-0.03537880644087196,-0.0014835262110013498,0.01596891953453502,0.11186917806616521,-0.08213243547860358,-0.013156470110285225,-0.006965733651836086,0.07760697009985369,-0.10630578527997868,0.04455332047779208,0.025076637666753603,-0.018222534590260953,-0.019995600746846025,-0.06407144374469705,0.013393181917419231,0.1270555438502642,-0.015723852259362243,0.0004257696051566952,0.01377290518655841,0.011193057579219217,0.06277324633661352,-0.013516604255509806,0.07963226941104373,1.0,0.03730220635383227,,-0.12937603476270612
 Interest Coverage Ratio (Interest expense to EBIT),0.045978006765544435,0.03653762808791316,0.0349902771065141,0.02744356553197254,-0.09008870375480685,-0.09114247706143998,-0.05013849702124529,0.08566506999738023,0.08108572547753634,0.13317380170877038,0.040694582756239994,0.04539586546285706,0.07141680150989813,0.049803716767975986,-0.022963058395801806,0.11009478740003693,0.12774595865281,0.12774595865281,0.12741356769029322,0.023837757798411418,0.05147296661440747,0.12132518031193432,0.040751724270268117,0.04734232309905428,-0.02969853365897672,-0.05425283993331444,-0.008814449523109485,-0.009081748811397292,-0.02109362765119224,0.01324992548845377,0.024491203188804003,-0.03680017442822729,0.010398426072828941,0.10361551274264727,0.08540823405703868,0.5452175595896913,0.0011877732714385724,-0.0528755163170102,0.052875516317009985,0.030630573113463413,-0.014332001111904009,-0.035370396956910057,0.040632459947133166,0.04879564739276402,0.04782586871199708,0.11165444887776602,0.09776016078213468,-0.13503820075854903,-0.23642600627196866,-0.15890199834602814,0.08984798578952757,0.0633734139541155,0.011467900192688342,-0.011922217249887103,0.08491211533017061,0.13108302521101267,0.1471197679972203,0.06448936074454421,0.09329168333995487,0.005279830045003627,0.04741921085752701,0.05339790224237138,0.04490065535976256,0.08960549470116584,0.1173722737187306,0.04077044663684804,0.009993647211324378,-0.16666030826276979,0.05580506222340636,0.08595640119833675,0.029278799733844573,0.1118310227998587,-0.11088147831525416,0.08082383627181529,-0.03377751552441188,0.00453038383037219,0.0020156766899830448,0.1173722737187306,0.009993647211324378,-0.059244506104796195,0.012633064882429643,0.012892156981260635,0.0440304650029827,-0.0071624777113712505,-0.12916878720181107,0.008843565179978873,0.03826215881539453,0.021623765104282166,0.024791891530320506,-0.09011897454317659,0.01576104737133824,-0.013688695474962258,0.03730220635383227,1.0,,0.06927595942747165
 Net Income Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Equity to Liability,-0.37243086290291144,0.36682141014855296,0.3327606259962463,0.35245018545367673,0.08420013325601462,0.08375513966583259,0.27648740847065395,0.48915324233690594,0.4735541076683888,0.4504578032258712,0.44899419786607836,-0.10850618853675796,0.2328449078909254,0.5429180580166916,0.02793854215176635,0.2561285246761709,0.5130960253073867,0.5130960253073867,0.49191349176816573,0.3811583919369875,0.2740961288305449,-0.27146245936506513,0.15780676149608752,0.3888416081038222,-0.1445528654959911,-0.11926363566130471,0.12123834870818787,0.12362734788239954,0.14541218756660726,0.21018089522126665,0.3869377602150459,0.16394135453628234,0.2892522895797051,0.6606258737687366,0.6309784537028874,-0.09979628037610587,-0.4772372436650543,-0.8596755862430441,0.8596755862430436,0.37260993001922704,-0.2013851234547434,-0.24132338697702937,0.1575606961250396,0.3922491372725015,-0.1461241499434761,-0.09340301787283349,-0.17383238725787079,0.17041426099664633,0.18575217761229584,0.03298100353997772,-0.3946833306073346,-0.13964883701012182,0.21070562473025362,-0.1698669657534442,0.5750943645158121,0.05055307398110805,0.018247761463505534,0.34705971952611914,0.635443384818352,-0.10627400830368242,-0.6092301316222832,0.664951572203837,-0.07606031071015909,0.46973910156654874,0.1718236848423749,0.2601998095526418,-0.13043458829495214,-0.2454059220174199,0.4938740447410444,0.4979810598399634,-0.23760169058702835,-0.28606817540639173,-0.07136353317778177,0.26223268759692836,0.25756544931517883,0.1321386871288927,-0.10575187446279939,0.1718236848423749,-0.13043458829495214,-0.18341950555988704,0.1929909555861564,0.31444410081368773,0.3900597780994173,0.22945533612805852,-0.5771407365420504,-0.14809223702611177,0.38031869854598954,-0.16289628195500416,0.337879868182254,0.0841826283221063,-0.08786886626220469,-0.18144133476552998,-0.12937603476270612,0.06927595942747165,,1.0
